uid, start, end, summary, description, location
CSVConvert3974533f06200ffaf0d8437298b5bea2,"03 August 2012 01:00:00 PM -0500","03 August 2012 03:55:00 PM -0500","Athletics: MEN - 1500m: round 1. Long Jump: qualifying. Shot Put: final. WOMEN -100m: round 1.  10,000m: final. Discus: qualifying.  Heptathlon: shot put, 200m.","","Olympic Stadium, Stratford, London"
CSVConvert269b019e8bc514a2179cae295ca84c4a,"04 August 2012 04:00:00 AM -0500","04 August 2012 07:45:00 AM -0500","Athletics: MEN - 100m: classification heats, round 1.  400m: round 1. WOMEN - 3000m steeplechase: round 1.  Pole Vault: qualifying. Heptathlon: long jump, javelin","","Olympic Stadium, Stratford, London"
CSVConvert819b924322721133507343d8ece436cc,"04 August 2012 11:00:00 AM -0500","04 August 2012 12:30:00 PM -0500","Athletics: MEN  - 20km Race Walk","","The Mall, London"
CSVConvert8d8efba4aca2aa929e1368b28be73040,"06 August 2012 11:45:00 AM -0500","06 August 2012 02:15:00 PM -0500","Wrestling (Greco-Roman): MEN- 60kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony. 84kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony. 120kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony","","ExCel, Docklands, London"
CSVConvert81b7b934403ff4474b8881cf8946bfff,"07 August 2012 11:45:00 AM -0500","07 August 2012 02:15:00 PM -0500","Wrestling (Greco-Roman): MEN - 66kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony. 96kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony","","ExCel, Docklands, London"
CSVConvert1e17c186fb75d691be4e2569e2ec5ab5,"09 August 2012 11:45:00 AM -0500","09 August 2012 02:15:00 PM -0500","Wrestling (Freestyle): WOMEN - 55kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony. 72kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony","","ExCel, Docklands, London"
CSVConvert691b1756897185ef15cc2209f6237387,"09 August 2012 07:00:00 AM -0500","09 August 2012 08:00:00 AM -0500","Wrestling (Freestyle): WOMEN - 55kg: qualifications, 1/8 finals,quarter-finals, semi-finals. 72kg: qualifications, 1/8 finals, quarter-finals, semi-finals","","ExCel, Docklands, London"
CSVConvert3e769c4f8d78fffe27dee71a2300343e,"08 August 2012 11:45:00 AM -0500","08 August 2012 02:15:00 PM -0500","Wrestling (Freestyle): WOMEN - 48kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony. 63kg: repechage rounds, bronze medal contests, gold medal contest, victory ceremony","","ExCel, Docklands, London"
CSVConvert6664b6affb91726504d7089950ef6309,"08 August 2012 07:00:00 AM -0500","08 August 2012 09:45:00 AM -0500","Wrestling (Freestyle): WOMEN - 48kg: qualifications, 1/8 finals,quarter-finals, semi-finals. 63kg: qualifications, 1/8 finals, quarter-finals, semi-finals","","ExCel, Docklands, London"
CSVConvert54f70a0185b2bdc0c080ec29ab854807,"06 August 2012 09:30:00 AM -0500","06 August 2012 11:30:00 AM -0500","Weightlifting: MEN - 105kg: group B","","ExCel, Docklands, London"
CSVConvert57b9220c6638dba74f45a752b7c3300a,"06 August 2012 01:00:00 PM -0500","06 August 2012 03:00:00 PM -0500","Weightlifting: MEN - 105kg: group A, victory ceremony","","ExCel, Docklands, London"
CSVConvertcda6a04520e122427407e51acaa8abf3,"07 August 2012 09:30:00 AM -0500","07 August 2012 11:30:00 AM -0500","Weightlifting: MEN +105kg: group B","","ExCel, Docklands, London"
CSVConvert43b6786531674c9b0661f49393db49ed,"07 August 2012 01:00:00 PM -0500","07 August 2012 03:00:00 PM -0500","Weightlifting: MEN +105kg: group A, victory ceremony","","ExCel, Docklands, London"
CSVConvert9719650c6bd44841ca18657393f8cc1e,"07 August 2012 08:10:00 AM -0500","07 August 2012 10:50:00 AM -0500","Water Polo: WOMEN - Semi-final, classification match (5th-8th places)","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvert756c541234d7d0522dbc7715fac93b67,"07 August 2012 12:20:00 PM -0500","07 August 2012 03:00:00 PM -0500","Water Polo: WOMEN - Semi-final, classification match (5th-8th places)","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvert56d5d8f56a32ad2c8760f602c3be650f,"09 August 2012 08:30:00 AM -0500","09 August 2012 11:10:00 AM -0500","Water Polo: WOMEN - Classification matches (5th-6th, 7th-8th places)","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvertab558512e58d9459a13f24f36cd128d4,"09 August 2012 12:40:00 PM -0500","09 August 2012 03:50:00 PM -0500","Water Polo: WOMEN - Bronze medal match, gold medal match, victory ceremony","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvert8a22c2c72f4ea5e3715c6c86a890a189,"08 August 2012 12:40:00 PM -0500","08 August 2012 03:20:00 PM -0500","Water Polo: MEN - Quarter-finals (2 matches)","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvert79af1f92524cb8e4e3cd1be746f6dcc6,"08 August 2012 08:30:00 AM -0500","08 August 2012 11:10:00 AM -0500","Water Polo: MEN - Quarter-finals (2 matches)","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvertc9a4908e209c8dac3d0ee1d31d7af8b8,"06 August 2012 12:20:00 PM -0500","06 August 2012 03:00:00 PM -0500","Water Polo: MEN - Preliminaries (2 matches)","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvert8405f710a3f87a68ae953d03e8327cbe,"06 August 2012 08:10:00 AM -0500","06 August 2012 10:50:00 AM -0500","Water Polo: MEN - Preliminaries (2 matches)","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConverte003f3de53252072b6d39458fc598fb4,"09 August 2012 01:30:00 PM -0500","09 August 2012 03:00:00 PM -0500","Volleyball: Women's Semi-final","","Earls Court, London"
CSVConvert8b8920f63677032d9daf8a4a35b6c2cd,"09 August 2012 09:00:00 AM -0500","09 August 2012 10:30:00 AM -0500","Volleyball: Women's Semi-final","","Earls Court, London"
CSVConvert5200e583a7b92016a2cce6cf42f5619d,"07 August 2012 01:00:00 PM -0500","07 August 2012 04:30:00 PM -0500","Volleyball: Women's quarter-final  (2 matches)","","Earls Court, London"
CSVConvert0ee7ca2744aab78ea862f8bf996eb417,"07 August 2012 07:00:00 AM -0500","07 August 2012 10:30:00 AM -0500","Volleyball: Women's quarter-final  (2 matches)","","Earls Court, London"
CSVConvert7fc35eed0b211dd264bac804cbe0befa,"08 August 2012 08:00:00 AM -0500","08 August 2012 11:30:00 AM -0500","Volleyball: Men's quarter-final  (2 matches)","","Earls Court, London"
CSVConvert4526183467a9eccccad85299e9d8d08a,"08 August 2012 01:30:00 PM -0500","08 August 2012 05:00:00 PM -0500","Volleyball: Men's quarter-final  (2 matches)","","Earls Court, London"
CSVConvertf86d8a19d2144aefc8ed0283690d5b42,"06 August 2012 08:45:00 AM -0500","06 August 2012 12:15:00 PM -0500","Volleyball: Men's preliminaries (2 matches)","","Earls Court, London"
CSVConvert1ef3a5ef7cee1f5b427f58e557112185,"06 August 2012 02:00:00 PM -0500","06 August 2012 05:30:00 PM -0500","Volleyball: Men's preliminaries (2 matches)","","Earls Court, London"
